 face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
0,1.04,0.98,1,1.72,0.0,0.88,0.25,0.0,0.02,0.0,0.0,0.0,0.0,1.41,1.07,0.17,0.91,0.6,4.48,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.08,0.88,1,1.59,0.0,0.97,0.33,0.0,0.0,0.0,0.0,0.0,0.06,1.43,0.97,0.14,0.98,0.77,4.18,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.12,0.88,1,1.49,0.1,1.06,0.47,0.0,0.0,0.0,0.0,0.0,0.06,1.59,0.91,0.0,0.88,0.84,4.24,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0,1.16,0.88,1,1.54,0.43,0.96,0.87,0.0,0.0,0.0,0.0,0.0,0.06,1.59,0.79,0.15,1.08,1.07,4.45,0.09,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0,1.2,0.88,1,1.58,0.94,0.94,1.17,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.72,0.22,1.34,1.21,4.59,0.35,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1.24,0.88,1,1.63,1.31,0.89,1.56,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,0.29,1.52,1.48,4.65,0.72,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1.28,0.88,1,1.64,1.44,0.96,1.63,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.27,0.14,1.51,1.58,4.3,1.19,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1.32,0.88,1,1.66,1.45,1.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.22,0.07,1.36,1.63,4.21,1.49,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1.36,0.88,1,1.66,1.38,0.96,1.71,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.21,0.12,1.28,1.69,4.25,1.78,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1.4,0.88,1,1.58,1.28,0.88,1.76,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.32,0.25,1.19,1.55,4.36,1.89,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1.44,0.88,1,1.54,1.27,0.79,1.84,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.15,0.28,1.22,1.34,4.41,1.83,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1.48,0.88,1,1.44,1.22,0.74,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.11,0.17,1.15,1.02,4.17,1.74,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1.52,0.88,1,1.41,1.13,0.68,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.03,1.16,0.96,4.28,1.72,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1.56,0.88,1,1.34,1.0,0.63,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.94,4.02,1.79,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1.6,0.88,1,1.32,1.16,0.65,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.87,4.08,1.93,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1.64,0.88,1,1.21,1.36,0.67,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.64,3.84,2.02,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1.68,0.88,1,1.04,1.5,0.69,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.1,0.54,3.81,2.02,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1.72,0.88,1,0.76,1.39,0.7,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.01,0.53,3.56,2.04,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1.76,0.88,1,0.5,1.35,0.75,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.86,0.61,3.73,1.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1.8,0.88,1,0.42,1.43,0.85,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.65,0.67,3.89,2.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1.84,0.88,1,0.29,1.5,0.93,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.61,0.82,4.09,2.09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1.88,0.88,1,0.2,1.47,1.18,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,1.01,0.59,0.91,3.78,1.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1.92,0.82,1,0.0,1.24,1.44,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.79,0.6,1.15,3.55,1.68,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,1.96,0.82,1,0.0,0.93,1.53,1.26,0.0,0.0,0.0,0.0,0.08,0.0,0.23,0.0,0.58,0.67,1.06,2.68,1.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,2.0,0.88,1,0.0,0.76,1.15,1.24,0.2,0.0,0.0,0.0,0.43,0.1,0.01,0.0,0.57,1.01,0.79,1.85,1.54,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
0,2.04,0.88,1,0.0,0.42,0.59,1.12,0.41,0.0,0.0,0.0,0.85,0.23,0.0,0.06,0.76,1.46,0.31,0.79,1.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,2.08,0.88,1,0.0,0.26,0.25,1.1,0.6,0.0,0.0,0.0,1.33,0.34,0.0,0.21,1.19,1.57,0.0,0.38,0.82,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,2.12,0.88,1,0.18,0.16,0.17,0.85,0.67,0.0,0.0,0.01,1.62,0.5,0.0,0.49,1.7,1.52,0.01,0.13,0.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,2.16,0.88,1,0.37,0.26,0.2,0.63,0.81,0.0,0.0,0.25,1.95,0.62,0.03,0.78,2.02,1.47,0.01,0.08,0.19,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,2.2,0.88,1,0.45,0.28,0.15,0.29,1.08,0.0,0.0,0.63,2.26,0.84,0.03,1.14,2.2,1.67,0.01,0.0,0.04,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,2.24,0.88,1,0.27,0.15,0.1,0.11,1.46,0.47,0.0,1.19,2.7,1.01,0.21,1.46,2.57,1.97,0.0,0.0,0.04,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,2.28,0.98,1,0.08,0.02,0.05,0.0,1.82,0.99,0.0,1.62,3.07,1.3,0.3,1.92,2.93,2.33,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,2.32,0.98,1,0.0,0.0,0.0,0.0,2.12,1.7,0.0,1.91,3.37,1.41,0.7,2.45,3.26,2.65,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,2.36,0.98,1,0.0,0.0,0.0,0.0,2.25,1.85,0.0,1.78,3.27,1.02,1.45,2.76,3.43,2.86,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,2.4,0.98,1,0.0,0.0,0.0,0.0,2.41,1.73,0.0,1.11,3.0,0.49,3.0,2.83,3.87,3.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,2.44,0.98,1,0.0,0.0,0.0,0.0,2.53,1.51,0.0,0.44,2.33,0.05,4.25,2.66,4.45,3.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,2.48,0.98,1,0.0,0.0,0.0,0.0,2.67,1.32,0.0,0.0,1.84,0.0,5.0,1.91,4.85,3.51,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,2.52,0.98,1,0.0,0.0,0.0,0.0,2.66,1.11,0.0,0.0,1.49,0.0,5.0,1.03,5.0,3.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0,2.56,0.98,1,0.0,0.0,0.0,0.0,2.58,0.77,0.0,0.0,1.47,0.0,5.0,0.16,5.0,3.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,2.6,0.98,1,0.0,0.0,0.0,0.0,2.42,0.53,0.0,0.0,1.42,0.0,5.0,0.0,5.0,4.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,2.64,0.98,1,1.29,0.52,0.0,0.0,1.55,0.34,0.0,0.0,0.96,0.0,3.33,0.0,3.33,3.0,0.39,0.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,2.68,0.98,1,2.57,0.76,0.0,0.0,0.75,0.19,0.0,0.0,0.57,0.0,1.67,0.01,1.67,1.67,0.7,0.71,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,2.72,0.88,1,2.57,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.01,0.0,0.28,0.7,0.71,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,2.76,0.03,0,2.62,0.24,0.0,0.0,0.0,0.0,0.0,0.07,0.28,0.23,0.0,0.01,0.0,0.25,0.5,0.4,0.11,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,2.8,0.88,1,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.24,0.48,0.0,0.05,0.01,0.22,0.36,0.1,0.29,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,2.84,0.88,1,4.06,0.0,0.05,0.0,0.0,0.26,0.0,0.32,0.28,0.69,0.0,0.11,0.04,0.42,0.48,0.1,0.47,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0,2.88,0.88,1,4.17,0.13,0.13,0.0,0.0,0.72,0.0,0.31,0.23,0.66,0.0,0.2,0.06,0.42,0.35,0.0,0.52,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0,2.92,0.98,1,4.22,0.42,0.25,0.19,0.0,1.28,0.0,0.15,0.31,0.44,0.0,0.15,0.05,0.33,0.17,0.0,0.52,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0,2.96,0.98,1,4.16,0.73,0.25,0.39,0.0,1.68,0.0,0.06,0.33,0.23,0.0,0.09,0.02,0.24,0.05,0.0,0.44,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0,3.0,0.98,1,4.03,0.88,0.17,0.68,0.0,1.75,0.0,0.0,0.22,0.03,0.0,0.0,0.0,0.15,0.0,0.06,0.28,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0,3.04,0.98,1,4.08,0.94,0.06,0.85,0.0,1.72,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.1,0.0,0.12,0.09,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0,3.08,0.98,1,4.24,1.07,0.0,0.89,0.0,1.55,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0,3.12,0.98,1,4.43,1.31,0.0,0.98,0.0,1.61,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0,3.16,0.98,1,4.42,1.39,0.0,1.01,0.0,1.55,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0,3.2,0.88,1,4.57,1.33,0.0,1.29,0.0,1.37,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0,3.24,0.88,1,4.71,1.07,0.0,1.53,0.0,1.18,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0,3.28,0.88,1,4.94,0.83,0.0,1.66,0.0,1.16,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0,3.32,0.88,1,4.98,0.67,0.0,1.77,0.02,1.45,0.0,0.0,0.64,0.0,0.0,0.11,0.0,0.0,0.0,0.74,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0,3.36,0.88,1,3.33,0.4,0.0,1.16,0.02,1.06,0.0,0.0,0.45,0.0,0.0,0.11,0.0,0.0,0.0,0.51,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0,3.4,0.03,0,1.66,0.21,0.0,0.63,0.02,0.61,0.0,0.0,0.22,0.0,0.0,0.11,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3.44,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3.48,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3.52,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
